  i   p     |   d   m   t  ii    
------------------------------------
  0  11     |   0   0   0   0    
  1  13     |   2   2   1   1    
  2  17     |   4   6   1   2    
  3  19     |   2   8   2   3    
  4  23     |   4  12   2   4    
  5  29     |   6  18   1   5    
  6  31     |   2  20   2   6    
  7  37     |   6  26   2   7    
  8  41     |   4  30   2   8    
  9  43     |   2  32   2   9    
366 1609     |   2  23   1 366    
367 1613     |   4  27   1 367    
368 1619     |   6  33   1 368    
369 1621     |   2  35   1 369    
370 1627     |   6  41   1 370    
371 1633     |   6  47   1 371    
372 1637     |   4  51   1 372    
373 1639     |   2  53   1 373    
374 1643     |   4  57   1 374    
375 1649     |   6  63   1 375    
376 1651     |   2  65   2 376    
377 1657     |   6  71   1 377    
378 1661     |   4  75   1 378    
379 1663     |   2  77   2 379    
380 1667     |   4  81   2 380    
381 1669     |   2  83   3 381    
382 1679     |  10  93   1 382    
383 1681     |   2  95   2 383    
- - - - - - - - - - - - - - - - - - - 
384 1691     |  10   0   0 384    
385 1693     |   2   2   1 385    
386 1697     |   4   6   1 386    
387 1699     |   2   8   2 387    
388 1703     |   4  12   2 388    
389 1709     |   6  18   1 389    
390 1711     |   2  20   2 390    
391 1717     |   6  26   2 391    
392 1721     |   4  30   2 392    
393 1723     |   2  32   2 393    
394 1727     |   4  36   2 394    
395 1733     |   6  42   2 395    
396 1739     |   6  48   2 396    
397 1741     |   2  50   2 397    
398 1747     |   6  56   2 398    
399 1751     |   4  60   2 399    
400 1753     |   2  62   2 400    
401 1759     |   6  68   2 401    
402 1763     |   4  72   2 402    
403 1769     |   6  78   2 403    
404 1777     |   8  86   1 404    
405 1781     |   4  90   1 405    
406 1783     |   2  92   1 406    
407 1787     |   4  96   2 407    
408 1789     |   2  98   2 408    
409 1793     |   4 102   2 409    
410 1801     |   8   5   1 410    
411 1807     |   6  11   1 411    
412 1811     |   4  15   1 412    
413 1817     |   6  21   1 413    
414 1819     |   2  23   1 414    
415 1823     |   4  27   1 415    
416 1829     |   6  33   1 416    
417 1831     |   2  35   1 417    
418 1837     |   6  41   1 418    
419 1843     |   6  47   1 419    
420 1847     |   4  51   1 420    
421 1849     |   2  53   1 421    
422 1853     |   4  57   1 422    
423 1859     |   6  63   1 423    
424 1861     |   2  65   2 424    
425 1867     |   6  71   1 425    
426 1871     |   4  75   1 426    
427 1873     |   2  77   2 427    
428 1877     |   4  81   2 428    
429 1879     |   2  83   3 429    
430 1889     |  10  93   1 430    
431 1891     |   2  95   2 431    
- - - - - - - - - - - - - - - - - - - 
432 1901     |  10   0   0 432    
433 1903     |   2   2   1 433    
434 1907     |   4   6   1 434    
435 1909     |   2   8   2 435    
436 1913     |   4  12   2 436    
437 1919     |   6  18   1 437    
438 1921     |   2  20   2 438    
439 1927     |   6  26   2 439    
440 1931     |   4  30   2 440    
441 1933     |   2  32   2 441    
442 1937     |   4  36   2 442    
443 1943     |   6  42   2 443    
444 1949     |   6  48   2 444    
445 1951     |   2  50   2 445    
446 1957     |   6  56   2 446    
447 1961     |   4  60   2 447    
448 1963     |   2  62   2 448    
449 1969     |   6  68   2 449    
450 1973     |   4  72   2 450    
451 1979     |   6  78   2 451    
452 1987     |   8  86   1 452    
453 1991     |   4  90   1 453    
454 1993     |   2  92   1 454    
455 1997     |   4  96   2 455    
456 1999     |   2  98   2 456    
457 2003     |   4 102   2 457    
458 2011     |   8   5   1 458    
459 2017     |   6  11   1 459    
460 2021     |   4  15   1 460    
461 2027     |   6  21   1 461    
462 2029     |   2  23   1 462    
463 2033     |   4  27   1 463    
464 2039     |   6  33   1 464    
465 2041     |   2  35   1 465    
466 2047     |   6  41   1 466    
467 2053     |   6  47   1 467    
468 2057     |   4  51   1 468    
469 2059     |   2  53   1 469    
470 2063     |   4  57   1 470    
471 2069     |   6  63   1 471    
472 2071     |   2  65   2 472    
473 2077     |   6  71   1 473    
474 2081     |   4  75   1 474    
475 2083     |   2  77   2 475    
476 2087     |   4  81   2 476    
477 2089     |   2  83   3 477    
478 2099     |  10  93   1 478    
479 2101     |   2  95   2 479    
- - - - - - - - - - - - - - - - - - - 
480 2111     |  10   0   0 480    
481 2113     |   2   2   1 481    
482 2117     |   4   6   1 482    
483 2119     |   2   8   2 483    
484 2123     |   4  12   2 484    
485 2129     |   6  18   1 485    
486 2131     |   2  20   2 486    
487 2137     |   6  26   2 487    
488 2141     |   4  30   2 488    
489 2143     |   2  32   2 489    
490 2147     |   4  36   2 490    
491 2153     |   6  42   2 491    
492 2159     |   6  48   2 492    
493 2161     |   2  50   2 493    
494 2167     |   6  56   2 494    
495 2171     |   4  60   2 495    
496 2173     |   2  62   2 496    
497 2179     |   6  68   2 497    
498 2183     |   4  72   2 498    
499 2189     |   6  78   2 499    
500 2197     |   8  86   1 500    
501 2201     |   4  90   1 501    
502 2203     |   2  92   1 502    
503 2207     |   4  96   2 503    
504 2209     |   2  98   2 504    
505 2213     |   4 102   2 505    
506 2221     |   8   5   1 506    
507 2227     |   6  11   1 507    
508 2231     |   4  15   1 508    
509 2237     |   6  21   1 509    
510 2239     |   2  23   1 510    
511 2243     |   4  27   1 511    
512 2249     |   6  33   1 512    
513 2251     |   2  35   1 513    
514 2257     |   6  41   1 514    
515 2263     |   6  47   1 515    
516 2267     |   4  51   1 516    
517 2269     |   2  53   1 517    
518 2273     |   4  57   1 518    
519 2279     |   6  63   1 519    
520 2281     |   2  65   2 520    
521 2287     |   6  71   1 521    
522 2291     |   4  75   1 522    
523 2293     |   2  77   2 523    
524 2297     |   4  81   2 524    
525 2299     |   2  83   3 525    
526 2309     |  10  93   1 526    
527 2311     |   2  95   2 527    
- - - - - - - - - - - - - - - - - - - 
528 2321     |  10   0   0 528    
529 2323     |   2   2   1 529    
530 2327     |   4   6   1 530    
531 2329     |   2   8   2 531    
532 2333     |   4  12   2 532    
533 2339     |   6  18   1 533    
534 2341     |   2  20   2 534    
535 2347     |   6  26   2 535    
536 2351     |   4  30   2 536    
537 2353     |   2  32   2 537    
538 2357     |   4  36   2 538    
539 2363     |   6  42   2 539    
540 2369     |   6  48   2 540    
541 2371     |   2  50   2 541    
542 2377     |   6  56   2 542    
543 2381     |   4  60   2 543    
544 2383     |   2  62   2 544    
545 2389     |   6  68   2 545    
546 2393     |   4  72   2 546    
547 2399     |   6  78   2 547    
548 2407     |   8  86   1 548    
549 2411     |   4  90   1 549    
550 2413     |   2  92   1 550    
551 2417     |   4  96   2 551    
552 2419     |   2  98   2 552    
553 2423     |   4 102   2 553    
554 2431     |   8   5   1 554    
555 2437     |   6  11   1 555    
556 2441     |   4  15   1 556    
557 2447     |   6  21   1 557    
558 2449     |   2  23   1 558    
559 2453     |   4  27   1 559    
560 2459     |   6  33   1 560    
561 2461     |   2  35   1 561    
562 2467     |   6  41   1 562    
563 2473     |   6  47   1 563    
564 2477     |   4  51   1 564    
565 2479     |   2  53   1 565    
566 2483     |   4  57   1 566    
567 2489     |   6  63   1 567    
568 2491     |   2  65   2 568    
569 2497     |   6  71   1 569    
570 2501     |   4  75   1 570    
571 2503     |   2  77   2 571    
572 2507     |   4  81   2 572    
573 2509     |   2  83   3 573    
574 2519     |  10  93   1 574    
575 2521     |   2  95   2 575    
- - - - - - - - - - - - - - - - - - - 
576 2531     |  10   0   0 576    
577 2533     |   2   2   1 577    
578 2537     |   4   6   1 578    
579 2539     |   2   8   2 579    
580 2543     |   4  12   2 580    
581 2549     |   6  18   1 581    
582 2551     |   2  20   2 582    
583 2557     |   6  26   2 583    
584 2561     |   4  30   2 584    
585 2563     |   2  32   2 585    
586 2567     |   4  36   2 586    
587 2573     |   6  42   2 587    
588 2579     |   6  48   2 588    
589 2581     |   2  50   2 589    
590 2587     |   6  56   2 590    
591 2591     |   4  60   2 591    
592 2593     |   2  62   2 592    
593 2599     |   6  68   2 593    
594 2603     |   4  72   2 594    
595 2609     |   6  78   2 595    
596 2617     |   8  86   1 596    
597 2621     |   4  90   1 597    
598 2623     |   2  92   1 598    
599 2627     |   4  96   2 599    
600 2629     |   2  98   2 600    
601 2633     |   4 102   2 601    
602 2641     |   8   5   1 602    
603 2647     |   6  11   1 603    
604 2651     |   4  15   1 604    
605 2657     |   6  21   1 605    
606 2659     |   2  23   1 606    
607 2663     |   4  27   1 607    
608 2669     |   6  33   1 608    
609 2671     |   2  35   1 609    
610 2677     |   6  41   1 610    
611 2683     |   6  47   1 611    
612 2687     |   4  51   1 612    
613 2689     |   2  53   1 613    
614 2693     |   4  57   1 614    
615 2699     |   6  63   1 615    
616 2701     |   2  65   2 616    
617 2707     |   6  71   1 617    
618 2711     |   4  75   1 618    
619 2713     |   2  77   2 619    
620 2717     |   4  81   2 620    
621 2719     |   2  83   3 621    
622 2729     |  10  93   1 622    
623 2731     |   2  95   2 623    
- - - - - - - - - - - - - - - - - - - 
624 2741     |  10   0   0 624    
625 2743     |   2   2   1 625    
626 2747     |   4   6   1 626    
627 2749     |   2   8   2 627    
628 2753     |   4  12   2 628    
629 2759     |   6  18   1 629    
630 2761     |   2  20   2 630    
631 2767     |   6  26   2 631    
632 2771     |   4  30   2 632    
633 2773     |   2  32   2 633    
